target,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,rank,log_likelihood_total,log_likelihood_avg,num_words
C[Si](C)(C)c1cccc2c1op1(->oc3c([Si](C)(C)C)cccc32)O[C@@H](c2ccccc2)c2<-n(cccc2)[Ir+]1,Cc1cc(C(C)(C)C)c2op3(->oc4c(C(C)(C)C)cc(C)c(C)c4c2c1C)O[C@@H](C)c1cccc(C)<-n1[Ir+]3,C[C@@H]1OC(c2ccccc2)=N2->[C@@H]1C(Cc1ccccc1)(Cc1ccccc1)OP(c1ccccc1)(->c1ccccc1)[Ir+]2,Cc1cc(C(C)(C)C)c2op3(->oc4c(C(C)(C)C)cc(C)c(C)c4c2c1C)O[C@@H](C)c1<-n(cccc1)[Ir+]3,Cc1cc(C(C)(C)C)c2op3(->oc4c(C(C)(C)C)cc(C)c(C)c4c2c1C)O[C@H](C)c1cccc(C)<-n1[Ir+]3,C[C@@H]1Op2(->oc3c([Si](C)(C)C)cccc3c3cccc([Si](C)(C)C)c3o2)[Ir+]n2->c1cccc2,0,-4.598409175872803,-0.06863297522068024,67
C[C@H]1Op2(->oc3c(C(C)(C)C)cc(C(C)(C)C)cc3c3cc(C(C)(C)C)cc(C(C)(C)C)c3o2)[Rh+]p2(->oc3c(C(C)(C)C)cc(C(C)(C)C)cc3c3cc(C(C)(C)C)cc(C(C)(C)C)c3o2)O[C@@H]2[C@@H]1O[C@@H]1OC(C)(C)O[C@@H]12,C[C@H]1Op2(->oc3c([Si](C)(C)C)cccc3c3cccc([Si](C)(C)C)c3o2)[Rh+]p2(->oc3c([Si](C)(C)C)cccc3c3cccc([Si](C)(C)C)c3o2)O[C@@H]2[C@@H]1O[C@@H]1OC(C)(C)O[C@@H]12,COc1cc(C(C)(C)C)c2op3(->oc4c(C(C)(C)C)cc(OC)cc4c2c1)NC[C@H]1O[C@H]2OC(C)(C)O[C@H]2[C@H]1Op1(->oc2c(C(C)(C)C)cc(OC)cc2c2cc(OC)cc(C(C)(C)C)c2o1)[Rh+]3,CC1(C)O[C@@H]2O[C@@H]3CNp4(->oc5c(C(C)(C)C)cc(C(C)(C)C)cc5c5cc(C(C)(C)C)cc(C(C)(C)C)c5o4)[Rh+]p4(->oc5c(C(C)(C)C)cc(C(C)(C)C)cc5c5cc(C(C)(C)C)cc(C(C)(C)C)c5o4)O[C@@H]3[C@@H]2O1,CC1Op2(->oc3c(C(C)(C)C)cc(C(C)(C)C)cc3c3cc(C(C)(C)C)cc(C(C)(C)C)c3o2)[Rh+]p2(->oc3c(C(C)(C)C)cc(C(C)(C)C)cc3c3cc(C(C)(C)C)cc(C(C)(C)C)c3o2)O[C@H]2[C@@H]3OC(C)(C)O[C@H]3O[C@H]12,CC1Op2(->oc3c(C(C)(C)C)cc(C(C)(C)C)cc3c3cc(C(C)(C)C)cc(C(C)(C)C)c3o2)[Rh+]p2(->oc3c(C(C)(C)C)cc(C(C)(C)C)cc3c3cc(C(C)(C)C)cc(C(C)(C)C)c3o2)OC2[C@@H]3OC(C)(C)O[C@H]3O[C@H]12,0,-3.706882953643799,-0.023762069642543793,156
C[C@@H](c1ccccc1)N([C@@H](C)c1ccccc1)P1([Ir+]P2(N([C@@H](C)c3ccccc3)[C@@H](C)c3ccccc3)->Oc3cccc4c3C3(CCc5cccc(c53)O2)CC4)->Oc2cccc3c2C2(CCc4cccc(c42)O1)CC3,C[C@@H](c1ccccc1)N([C@@H](C)c1ccccc1)P1([Ir+]P2(N([C@@H](C)c3ccccc3)[C@@H](C)c3ccccc3)->Oc3cccc4c3C3(CCc5cccc(c53)O2)CC4)->Oc2cccc3c2C2(CCc4cccc(c42)O1)CC3,C[C@H](c1ccccc1)N([C@H](C)c1ccccc1)P1([Ir+]P2(N([C@H](C)c3ccccc3)[C@H](C)c3ccccc3)->Oc3cccc4c3C3(CCc5cccc(c53)O2)CC4)->Oc2cccc3c2C2(CCc4cccc(c42)O1)CC3,C[C@@H](c1ccccc1)N([C@H](C)c1ccccc1)P1([Ir+]P2(N([C@@H](C)c3ccccc3)[C@H](C)c3ccccc3)->Oc3cccc4c3C3(CCc5cccc(c53)O2)CC4)->Oc2cccc3c2C2(CCc4cccc(c42)O1)CC3,C[C@@H](c1ccccc1)N([C@@H](C)c1ccccc1)p1([Ir+]p2(N([C@@H](C)c3ccccc3)[C@@H](C)c3ccccc3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,C[C@H](c1ccccc1)N([C@H](C)c1ccccc1)p1([Ir+]p2(N([C@H](C)c3ccccc3)[C@H](C)c3ccccc3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1,-0.025136813521385193,-0.00020774225413333625,121
C[C@@H]1c2ccccc2P(c2ccccc2)(->c2ccccc2)[Rh+]P1(C1CCCCC1)->C1CCCCC1.O=C[Cr](C=O)C=O,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p12->oc3c(cc4ccccc4c3c3c(o1)c(P(c1ccccc1)c1ccccc1)cc1ccccc13)P(c1ccccc1)(->c1ccccc1)[Rh+]2,c1ccc2c(c1)ccc1op([Rh+]p3(N4CCCCC4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)(N3CCCCC3)->oc3ccc4ccccc4c3c12,c1ccc2c(c1)ccc1op([Rh+]p3(N4CCOCC4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)(N3CCOCC3)->oc3ccc4ccccc4c3c12,c1ccc2c(c1)ccc1op3(->oc4ccc5ccccc5c4c12)OCCCCOp1(->oc2ccc4ccccc4c2c2c(ccc4ccccc42)o1)[Rh+]3,0,-7.834289073944092,-0.11692968755960464,67
CC(C)(C)[C@@H]1<-N2=C(OC1)c1ccccc1P(c1ccccc1)(->c1ccccc1)[Ir+]2,CC(C)(C)[C@@H]1<-N2=C(OC1)c1ccccc1P(c1ccccc1)(->c1ccccc1)[Ir+]2,CC(C)[C@@H]1<-N2=C(OC1)c1ccccc1P(c1ccccc1)(->c1ccccc1)[Ir+]2,CC1(C)Op2(->oc3c([Si](C)(C)C)cccc3c3cccc([Si](C)(C)C)c3o2)[Ir+]N2->[C@H]1COC=2c1ccccc1,CC(C)[C@@H]1<-N2=C(OC1)[C@@H](C(C)(C)C)OP(c1ccccc1)(->c1ccccc1)[Ir+]2,CC(C)C[S@](=O)(c1ccccc1)=N1->c2cccc3cccc(c32)P(c2ccccc2)(->c2ccccc2)[Ir+]1,1,-1.0677493810653687,-0.020936261862516403,51
Cc1ccc(S(=O)(=O)[N-]([Ru+][N-](->[C@H](c2ccccc2)[C@H](N)c2ccccc2)S(=O)(=O)c2ccc(C)cc2)->[C@H](c2ccccc2)[C@H](N)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)<-[N-]2[Ru+2]N(C)->[C@H](c3ccccc3)[C@H]2c2ccccc2)cc1,CC(C)(C)P12->[C@H](c3ccccc3C1)[C@@H]1<-P(C(C)(C)C)(Cc3ccccc31)[Pd+2]2,CN1->[C@@H](c2ccccc2)[C@H](c2ccccc2)[N-](->S(C)(=O)=O)[Ru+2]1,c1ccc(P2(->c3ccccc3)[Ru+2]P(c3ccccc3)(c3ccccc3)->c3ccc4ccccc4c3-c3c2ccc2ccccc32)cc1,c1ccc(P2(->c3ccccc3)[Ru+2]P(c3ccccc3)(c3ccccc3)->c3ccc4c(c3-c3c2ccc2c3OCCO2)OCCO4)cc1,0,-2.910113573074341,-0.0293950866907835,99
C[C@H](C1=C[C@H]([Fe]C2C=CC=C2)C=C1)N(C)p1([Rh+]p2(N(C)[C@H](C)C3=C[C@H]([Fe]C4C=CC=C4)C=C3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4c(c3c3c5c(ccc3o2)CCCC5)CCCC4)->oc2ccc3c(c2c2c4c(ccc2o1)CCCC4)CCCC3,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CCN(CC)p1([Rh+]p2(N(CC)CC)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,c1ccc(COp2([Rh+]p3(OCc4ccccc4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,C[C@@H]1[C@H]2OC(C)(C)O[C@@H]2[C@@H](C)P(c2ccccc2)(->c2ccccc2)[Rh+]P1(c1ccccc1)->c1ccccc1,0,-3.9236154556274414,-0.028639528900384903,137
c1ccc([C@@H]2CC[C@@H](c3ccccc3)<-P23CCP2(->[C@H](c4ccccc4)CC[C@H]2c2ccccc2)[Co+2]3)cc1,CC(C)(C)c1cc(C(C)(C)C)cc(P2(c3cc(C(C)(C)C)cc(C(C)(C)C)c3)->c3cccc4c3[C@@]3(CCc5cccc(c53)C3=N(->CCO3)[Ir+]2)CC4)c1,c1ccc([C@@H]2CC[C@@H](c3ccccc3)<-P23CCP2(->[C@H](c4ccccc4)CC[C@H]2c2ccccc2)[Co+2]3)cc1,CC(C)(C)c1cc(C(C)(C)C)cc(P2(c3cc(C(C)(C)C)cc(C(C)(C)C)c3)->c3cccc4c3[C@]3(CCc5cccc(c53)C3=N(->CCO3)[Ir+]2)CC4)c1,CC(C)[C@@H]1CC[C@@H](C(C)C)<-P12[Co+2]P1(->[C@H](C(C)C)CC[C@H]1C(C)C)c1ccccc12,CC(C)(C)c1cc(C2=N3->[C@H](CO2)c2ccccc2-c2ccccc2P(c2ccccc2)(->c2ccccc2)[Ir+]3)cc(C(C)(C)C)c1,2,-1.0342018604278564,-0.015208850614726543,68
CC(C)(C)P12->[C@@H](c3ccccc3C1)[C@H]1<-P(C(C)(C)C)(Cc3ccccc31)[Rh+]2,CC(C)(C)P12->[C@@H](c3ccccc3C1)[C@H]1<-P(C(C)(C)C)(Cc3ccccc31)[Rh+]2,CC(C)(C)P12->[C@H](CCC1)[C@@H]1<-P(C(C)(C)C)(CCC1)[Rh+]2,c1ccc(P2(->c3ccccc3)[Rh+]P(c3ccccc3)(c3ccccc3)->c3cccc4c3-c3c(cccc32)OCCCO4)cc1,CC(C)(C)P12->[C@H](c3ccccc3C1)[C@@H]1<-P(C(C)(C)C)(Cc3ccccc31)[Rh+]2,C[C@H]1CC[C@H](C)<-P12[Rh+]P1(->[C@@H](C)CC[C@@H]1C)c1ccccc12,1,-0.49318110942840576,-0.008966929279267788,55
O=C([O-])c1cccc2c1[C@]1(CC2)CCc2cccc(P([Ir+]P(c3ccccc3)(c3cccc4c3[C@@]3(CCc5cccc(C(=O)[O-])c53)CC4)->c3ccccc3)(c3ccccc3)->c3ccccc3)c21,C[C@@H](Np1([Rh+]p2(N[C@H](C)c3ccccc3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1)c1ccccc1,CC(C)(C)c1cc(C(C)(C)C)cc(P2(c3cc(C(C)(C)C)cc(C(C)(C)C)c3)->c3cccc4c3[C@@]3(CCc5cccc(c53)C3=N(->CCO3)[Ir+]2)CC4)c1,Cc1cc(C)cc(P2(c3cc(C)cc(C)c3)->c3cccc4c3[C@@]3(CCc5cccc(c53)C3=N(->[C@@H](Cc5ccccc5)CO3)[Ir+]2)CC4)c1,CC(C)(C)c1cc(C(C)(C)C)cc(P2(c3cc(C(C)(C)C)cc(C(C)(C)C)c3)->c3cccc4c3[C@]3(CCc5cccc(c53)C3=N(->CCO3)[Ir+]2)CC4)c1,CC(C)(C)c1cc(C2=N3->[C@H](CO2)c2ccccc2-c2ccccc2P(c2ccccc2)(->c2ccccc2)[Ir+]3)cc(C(C)(C)C)c1,0,-9.558686256408691,-0.09191044420003891,104
CC(C)(C)c1cc(C(C)(C)C)c2op3(->oc4c(C(C)(C)C)cc(C(C)(C)C)cc4c2c1)OC(C)(C)[C@@H]1<-N(=C(c2ccccc2)SC1)[Ir+]3,CC(C)(C)P12->[C@H](CCC1)C1=N(->[C@@H](c3ccccc3)CO1)[Ir+]2,CC1(C)Op2(->oc3c([Si](C)(C)C)cccc3c3cccc([Si](C)(C)C)c3o2)[Ir+]N2->[C@H]1COC=2c1ccccc1,CC1(C)Op2(->oc3c([Si](C)(C)C)cccc3c3cccc([Si](C)(C)C)c3o2)[Ir+]N2->[C@H]1CSC=2c1ccccc1,Cc1ccccc1P1(c2ccccc2C)->c2ccccc2C2=N(->[C@H](C(C)(C)OC(=O)c3ccccc3)CO2)[Ir+]1,Cc1ccccc1P1(c2ccccc2C)->c2ccccc2C2=N(->[C@@H](C(C)(C)C)CO2)[Ir+]1,0,-4.264513969421387,-0.04846038669347763,88
CC(C)(C)c1cc(C(C)(C)C)cc(P2(c3cc(C(C)(C)C)cc(C(C)(C)C)c3)->c3cccc4c3[C@@]3(CCc5cccc(c53)C3=N(->[C@@H](Cc5ccccc5)CO3)[Ir+]2)CC4)c1,Cc1ccc(P2(->c3ccc(C)cc3)[Ru+2]P(c3ccc(C)cc3)(c3ccc(C)cc3)->c3cccc4c3C3(c5ccccc5-c5cccc2c53)c2ccccc2-4)cc1,c1ccc([C@@H]2CC[C@@H](c3ccccc3)<-P23CCP2(->[C@H](c4ccccc4)CC[C@H]2c2ccccc2)[Co+2]3)cc1,Cc1ccc([C@@H]2CC[C@@H](c3ccccc3)<-P23CCP2(->[C@H](c4ccccc4)CC[C@H]2c2ccccc2)[Co+2]3)cc1,c1ccc(P2(->c3ccccc3)[Ru+2]P(c3ccccc3)(c3ccccc3)->c3ccc4ccccc4c3-c3c2ccc2ccccc32)cc1,Cc1cc(C)cc(P2(c3cc(C)cc(C)c3)->c3cccc4c3[C@@]3(CCc5cccc(c53)C3=N(->[C@@H](Cc5ccccc5)CO3)[Ir+]2)CC4)c1,0,-1.404767632484436,-0.01325252465903759,106
CC(C)[C@@H]1<-N2=C(CP(C(C)(C)C)(->C(C)(C)C)[Ir+]2)OC1,CC(C)(C)P1(->C(C)(C)C)CC2=N(->[C@@H](c3ccccc3)CO2)[Ir+]1,CC(C)(C)P1(->C(C)(C)C)CC2=N(->[C@@H](Cc3ccccc3)CO2)[Ir+]1,CC(C)(C)[C@@H]1<-N2=C(CP(C3CCCCC3)(->C3CCCCC3)[Ir+]2)OC1,CC(C)(C)[C@@H]1<-N2=C(CP(C(C)(C)C)(->C(C)(C)C)[Ir+]2)OC1,CC(C)[C@@H]1<-N2=C(CP(C3CCCCC3)(->C3CCCCC3)[Ir+]2)OC1,0,-3.2806992530822754,-0.07290443032979965,45
CC1(C)OC[C@@H]([C@H]2O[C@@H]3OC(C)(C)OC3[C@H]2Op2([Rh+]p3(O[C@@H]4C5OC(C)(C)O[C@H]5O[C@@H]4[C@@H]4COC(C)(C)O4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)O1,c1ccc2c(c1)ccc1op(OC3CCCCC3)([Rh+]p3(OC4CCCCC4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c12,c1ccc(COp2([Rh+]p3(OCc4ccccc4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,CC(C)(C)COp1([Rh+]p2(OCC(C)(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CC(C)COp1([Rh+]p2(OCC(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,c1ccc2c(c1)ccc1op(OCC3CCCCC3)([Rh+]p3(OCC4CCCCC4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c12,0,-0.7002261281013489,-0.004637259058654308,151
