target,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,rank,log_likelihood_total,log_likelihood_avg,num_words
C[C@@H](Cc1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,C[CC@@H](Cc1ccccc1)c1ccccc1,C[C[C@@H](Cc1ccccc1)c1ccccc1,C[C/C(=C\c1ccccc1)c1ccccc1,1,-0.35368379950523376,-0.01607653684914112,22
COC(=O)C[C@@H](NC(C)=O)c1ccc(OC)cc1,COC(=O)C[C@@H](NC(C)=O)c1ccc(OC)cc1,COC(=O)C[C@H](NC(C)=O)c1ccc(OC)cc1,COC(=O)(C[C@@H](NC(C)=O)c1ccc(OC)cc1,COC(=O)C[CH](NC(C)=O)c1ccc(OC)cc1,COC(=O)C[CNC(C)=O)c1ccc(OC)cc1,1,-0.0039045780431479216,-0.00013015260628890246,30
CCCC[C@@H](C)B1OC(C)(C)C(C)(C)O1,CCCC[C@@H](C)B1OC(C)(C)C(C)(C)O1,CCCC[C@H](C)B1OC(C)(C)C(C)(C)O1,CCCC[CC@@H](C)B1OC(C)(C)C(C)(C)O1,CCCC[C(@@H](C)B1OC(C)(C)C(C)(C)O1,CCCC[CH](C)B1OC(C)(C)C(C)(C)O1,1,-0.06670773029327393,-0.0024706567637622356,27
COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[CC@H](Cc1ccccc1)NC(C)=O,COC(=O)[C]@H](Cc1ccccc1)NC(C)=O,2,-1.9602527618408203,-0.07539433985948563,26
O=C(O)[C@H](CO)Cc1ccccc1,O=C(O)[C@H](CO)Cc1ccccc1,O=C(O)[C@@H](CO)Cc1ccccc1,O=C(O)[CC@H](CO)Cc1ccccc1,O=C(O)[C]@H](CO)Cc1ccccc1,O=C(O)[C@H](CC)Cc1ccccc1,1,-0.16857755184173584,-0.008027502335608006,21
C[C@@H](Cc1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,C[Cc1ccccc1)c1ccccc1.CC[C@@H](C)c1ccccc1,C[CC@@H](Cc1ccccc1)c1ccccc1,C[Cc1ccccc1)c1ccccc1.CC[C@H](C)c1ccccc1,1,-0.04685434326529503,-0.0021297428756952286,22
C=C(/C=C\C)C[C@@H](C)c1ccccc1,C=C(/C=C\C)C[C@@H](C)c1ccccc1,C=C(/C=C\C)C[C@H](C)c1ccccc1,C=C(/C=C(\C)C[C@@H](C)c1ccccc1,C=C(/C=C/C)C[C@@H](C)c1ccccc1,C=C(/C=C\C)C[CC@@H](C)c1ccccc1,1,-0.048816848546266556,-0.0018775711068883538,26
C[C@H](c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,C[C@@H](c1ccccc1)C(C)(C)C,C[C=C(c1ccccc1)C(C)(C)C,C[CH](c1ccccc1)C(C)(C)C,C[C\c1ccccc1)C(C)(C)C,1,-0.027221279218792915,-0.001237330841831863,22
CCc1ccc2c(c1)C(=O)[C@@H](NC(C)=O)C2,CCc1ccc2c(c1)C(=O)[C@@H](NC(C)=O)C2,CCc1ccc2c(c1)C(=O)[C@H](NC(C)=O)C2,CCc1ccc2c(-c1)C(=O)[C@@H](NC(C)=O)C2,CCc1ccc2c(c1)C(=O)[CNC(C)=O)C2,CCc1ccc2c(c1)S(=O)[C@@H](NC(C)=O)C2,1,-0.01790868118405342,-0.0005776993930339813,31
COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[CC@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C]@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C=C/c1ccccc1)NC(C)=O,1,-0.05677717551589012,-0.002183737466111779,26
COC(=O)[C@H](C)Cc1ccccc1,COC(=O)[C@H](C)Cc1ccccc1,COC(=O)[C@@H](C)Cc1ccccc1,COC(=O)[COP(C)Cc1ccccc1.CC[C@@H](C)Cc1ccccc1,COC(=O)[COCC[C@H](C)Cc1ccccc1,COC(=O)[CC@H](C)Cc1ccccc1,1,-0.2253561019897461,-0.010731242597103119,21
COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C[C@@H](C)C(=O)OC,COC(=O)C[CC@@H](C)C(=O)OC,COC(=O)C[CC@H](C)C(=O)OC,1,-0.43202805519104004,-0.019637638702988625,22
C[C@@H](c1ccccc1)c1cc(F)ccc1O,C[C@@H](c1ccccc1)c1cc(F)ccc1O,C[C@H](c1ccccc1)c1cc(F)ccc1O,C[C@@H](c1ccccc1)c1ccc(F)ccc1O,C[C@H](c1ccccc1)c1ccc(F)ccc1O,C[CC@@H](c1ccccc1)c1cc(F)ccc1O,1,-0.01707405038177967,-0.000682962010614574,25
CC(=O)N[C@H]1CCCC[C@H]1C,CC(=O)N[C@H]1CCCC[C@H]1C,CC(=O)N[C@@H]1CCCC[C@@H]1C,CC(=O)N[C@H]1CCCC[C@@H]1C,CC(=O)N[C]O[C@H]1CCCC[C@H]1C,CC(=O)N[C@H]1CCCC[C@H]1C(C)C,1,-0.2801685929298401,-0.012181242927908897,23
C[C@H](CC(=O)n1cccn1)c1ccccc1,C[C@H](CC(=O)n1cccn1)c1ccccc1,C[C@@H](CC(=O)n1cccn1)c1ccccc1,C[CC@H](CC(=O)n1cccn1)c1ccccc1,C[C[C@H](CC(=O)n1cccn1)c1ccccc1,C[C\C(=O)n1cccn1)[C@H](C)c1ccccc1,1,-0.13223573565483093,-0.00528942933306098,25
CCOC(=O)C[C@@H](C)CCc1ccccc1,CCOC(=O)C[C@@H](C)CCc1ccccc1,CCOC(=O)C[C@H](C)CCc1ccccc1,CCOC(=O)C[CC@@H](C)CCc1ccccc1,CCOC(=O)C[C]@@H](C)CCc1ccccc1,CCOC(=O)C[CH](C)CCc1ccccc1,1,-0.05695635452866554,-0.002373181516304612,24
COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C[C@@H](C)C(=O)OC,COC(=O)C[CC@@H](C)C(=O)OC,COC(=O)C[C]@@H](C)C(=O)OC,1,-0.057194724678993225,-0.002599760191515088,22
C[C@@H](CC(=O)c1ccccc1)C(=O)O,C[C@@H](CC(=O)c1ccccc1)C(=O)O,C[C@H](CC(=O)c1ccccc1)C(=O)O,C[CC@@H](CC(=O)c1ccccc1)C(=O)O,C[C[C@@H](CC(=O)c1ccccc1)C(=O)O,C[C@@H](C(=O)c1ccccc1)C(=O)O,1,-0.0471060685813427,-0.0018117718864232302,26
COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,CC[C@@H](NC(C)=O)C(=O)OC,CC(=O)N[C@@H](C)C(=O)OC,CC[C@H](NC(C)=O)C(=O)OC,1,-0.46494260430336,-0.023247130215168,20
CCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C@@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[CC@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C@H](Sc1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C]@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,1,-0.06785177439451218,-0.001785572967492044,38
COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C[C@@H](C)C(=O)OC,COC(=O)C[CC@@H](C)C(=O)OC,COC(=O)C[CC@H](C)C(=O)OC,2,-1.047546625137329,-0.04761575534939766,22
O=C1OCCC[C@@H]1Cc1ccccc1,O=C1OCCC[C@@H]1Cc1ccccc1,O=C1OCCC[C@H]1Cc1ccccc1,O=C1OCCC[C[C@@H]1Cc1ccccc1,O=C1OCCC[C[C@H]1Cc1ccccc1,O=C1OCCC[CC@@H]1Cc1ccccc1,1,-0.614820659160614,-0.027946393936872482,22
CCOC(=O)[C@H]1CCC[C@H]1NC(C)=O,CCOC(=O)[C@H]1CCC[C@H]1NC(C)=O,CCOC(=O)[C@@H]1CCC[C@@H]1NC(C)=O,CCOC(=O)[C@@H]1CCC[C@H]1NC(C)=O,CCOC(=O)[C@H]1CCC[C@@H]1NC(C)=O,CCOC(=O)[C@H]1CCCC[C@H]1NC(C)=O,1,-0.12365925312042236,-0.004416401963680983,28
CC(=O)N[C@@H](C)c1cccc2ccccc12,CC(=O)N[C@@H](C)c1cccc2ccccc12,CC(=O)N[C@H](C)c1cccc2ccccc12,CC(=O)N[C[C@@H](C)c1cccc2ccccc12,CC(=O)N[CC@@H](C)c1cccc2ccccc12,CC[C@@H](NC(C)=O)c1cccc2ccccc12,1,-0.13253827393054962,-0.0055224280804395676,24
Cc1ccc([C@H](C)c2ccccn2)cc1,Cc1ccc([C@H](C)c2ccccn2)cc1,Cc1ccc([C@@H](C)c2ccccn2)cc1,CCOc1ccc([C@H](C)c2ccccn2)cc1,CCOc1ccc([C@@H](C)c2ccccn2)cc1,Cccc([C@H](C)c2ccccn2)cc1,1,-0.16862913966178894,-0.007331701926887035,23
COC(=O)C[C@@H](C#N)CC(C)C,COC(=O)C[C@@H](C#N)CC(C)C,COC(=O)C[C@H](C#N)CC(C)C,COC(=O)C[CC@@H](C#N)CC(C)C,COC(=O)C[C]@@H](C#N)CC(C)C,COC(=O)C[CCC@@H](C#N)CC(C)C,1,-0.06453678756952286,-0.0028059473261237144,23
O=S1(=O)CCCC[C@H](c2ccccc2)C1,O=S1(=O)CCCC[C@H](c2ccccc2)C1,O=S1(=O)CCCC[C@@H](c2ccccc2)C1,O=S1(=O)CCCC=C(c2ccccc2)C1,O=S1(=O)CC1[C@H](c2ccccc2)C1,O=S1(=O)CCC[C@H](c2ccccc2)C1,1,-0.058956362307071686,-0.0022675523068755865,26
O=C(O)C[C@@H](c1ccccc1)c1ccccc1Cl,O=C(O)C[C@H](c1ccccc1)c1ccccc1Cl,O=C(O)C[C@@H](c1ccccc1)c1ccccc1Cl,O=C(O)C[C@H](c1ccccc1)c1ccccc1C,O=C(O)C[C@H](c1ccccc1)c1ccccc1OC,O=C(O)C[C@H](c1ccccc1)c1ccccc1CO,2,-3.1769394874572754,-0.11346212774515152,28
CC(=O)N[C@H](Cc1ccccc1)C(=O)O,CC(=O)N[C@H](Cc1ccccc1)C(=O)O,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CC(=O)N[CC@H](Cc1ccccc1)C(=O)O,CC(=O)N[C]@H](Cc1ccccc1)C(=O)O,CC(=O)N[CH](Cc1ccccc1)C(=O)O,1,-0.15304915606975555,-0.005668487399816513,27
CCOC(=O)C[C@@H](C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,CCOC(=O)C[C@H](C)c1ccccc1,CC[C@@H](C)c1ccc(OC)cc1,CCOC(=O)C[CC@@H](C)c1ccccc1,CCOC(=O)C[C]@@H](C)c1ccccc1,1,-0.07873065024614334,-0.003423071699216962,23
O=S1(=O)c2ccccc2C[C@@H]1c1ccccc1,O=S1(=O)c2ccccc2C[C@@H]1c1ccccc1,O=S1(=O)c2ccccc2C[C@H]1c1ccccc1,O=S1](=O)c2ccccc2C[C@@H]1c1ccccc1,O=S1(=O)c2ccccc2CN[C@@H]1c1ccccc1,O=S1(=O)c2ccccc2C[CC@@H]1c1ccccc1,1,-0.04497941955924034,-0.001551014487631619,29
COc1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1,COc1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1,COc1ccc(O[C@H](Cc2ccccc2)C(=O)O)cc1,COc1ccc(/O[C@@H](Cc2ccccc2)C(=O)O)cc1,COc1ccc(O[C@@H](Cc2ccccc2)C(=O)O])cc1,Cc1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1,1,-0.0123433293774724,-0.0003981719200965017,31
COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,CC[C@H](NC(C)=O)C(=O)OC,COC(=O)[CC@H](C)NC(C)=O,CC[C@@H](NC(C)=O)C(=O)OC,1,-0.006732037290930748,-0.0003366018645465374,20
C[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)O,C[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)O,C[C@H](CC(=O)c1ccc(Br)cc1)C(=O)O,C[C@@H](CC(=O)c1ccc(Na)cc1)C(=O)O,C[C@@H](CC(=O)c1ccc(B)cc1)C(=O)O,C[C@@H](CC(=O)c1ccc(Sc)cc1)C(=O)O,1,-0.012780427001416683,-0.00044070437434129417,29
C[C@@H]1c2ccccc2CCN1C,C[C@@H]1c2ccccc2CCN1C,C[C@H]1c2ccccc2CCN1C,CCN1CCc2ccccc2[C@H]1C,CCN1CCc2ccccc2[C@@H]1C,CCN1Cc2ccccc2[C@H]1C,1,-0.18073886632919312,-0.00951257161796093,19
CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[Cc1ccccc1.CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[Cc1ccccc1.CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[CC@H](C)c1ccccc1,2,-1.2842373847961426,-0.061154160648584366,21
COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[CC@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C]@@H](Cc1ccccc1)NC(C)=O,1,-0.025988278910517693,-0.0009995491709560156,26
CC(C)C[C@@H]1CCCNC1=O,CC(C)C[C@@H]1CCCNC1=O,CC(C)C[C@H]1CCCNC1=O,CC(C)CC[C@@H]1CCCNC1=O,CC(C)C[C@@H]1CC/NC1=O,CC(C)C[CC@@H]1CCCNC1=O,1,-0.03666490316390991,-0.001929731690324843,19
C[C@H]1CCc2ccccc2[C@H]1c1ccccc1,C[C@H]1CCc2ccccc2[C@H]1c1ccccc1,C[C@@H]1CCc2ccccc2[C@@H]1c1ccccc1,C[C@H]1CCc2ccccc2[C@@H]1c1ccccc1,C[C@@H]1CCc2ccccc2[C@H]1c1ccccc1,C[CC@H]1CCc2ccccc2[C@H]1c1ccccc1,1,-0.17043837904930115,-0.006087084766477346,28
CC(=O)N[C@@H]1CCCc2ccccc21,CC(=O)N[C@@H]1CCCc2ccccc21,CC(=O)N[C@H]1CCCc2ccccc21,CC(=O)N[CH]1CCCc2ccccc21,CC(=O)N[C]1CCCc2ccccc21,CC(=O)N[C/C=C\c2ccccc21,1,-0.044450126588344574,-0.00202046032063663,22
CCCC[C@H](C)c1ccccc1,CCCC[C@H](C)c1ccccc1,CCCC[C@@H](C)c1ccccc1,CCCC[C[C@H](C)c1ccccc1,CCCC[C[C@@H](C)c1ccccc1,CCCC[CC@H](C)c1ccccc1,1,-0.11052507162094116,-0.006501474883407354,17
